Params: {'C': 0.01, 'mode': 1, 'eps': 1.0, 'learn_intercept': True}, Score: 0.17279325182071262
Params: {'C': 0.01, 'mode': 1, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6618021064149655
Params: {'C': 0.01, 'mode': 2, 'eps': 0.01, 'learn_intercept': False}, Score: 0.4894038680719458
Params: {'C': 0.01, 'mode': 1, 'eps': 0.1, 'learn_intercept': False}, Score: 0.6845937790033411
Params: {'C': 0.1, 'mode': 2, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6447744564103466
Params: {'C': 0.1, 'mode': 1, 'eps': 0.1, 'learn_intercept': False}, Score: 0.7012988617824942
Params: {'C': 0.1, 'mode': 2, 'eps': 0.1, 'learn_intercept': False}, Score: 0.6559586114469841
Params: {'C': 1.0, 'mode': 1, 'eps': 1.0, 'learn_intercept': True}, Score: 0.17279325182071262
Params: {'C': 1.0, 'mode': 1, 'eps': 0.01, 'learn_intercept': True}, Score: 0.684391282680418
Params: {'C': 1.0, 'mode': 1, 'eps': 0.1, 'learn_intercept': True}, Score: 0.7068684311059265
Params: {'C': 10.0, 'mode': 1, 'eps': 0.1, 'learn_intercept': True}, Score: 0.7068684311059265
Params: {'C': 1.0, 'mode': 2, 'eps': 0.01, 'learn_intercept': True}, Score: 0.6832508309533396
Params: {'C': 1.0, 'mode': 2, 'eps': 1.0, 'learn_intercept': True}, Score: 0.17277219950411474
Params: {'C': 1.0, 'mode': 2, 'eps': 0.1, 'learn_intercept': True}, Score: 0.7069528019147454
Params: {'C': 10.0, 'mode': 1, 'eps': 0.01, 'learn_intercept': True}, Score: 0.684391282680418
Params: {'C': 10.0, 'mode': 2, 'eps': 1.0, 'learn_intercept': True}, Score: 0.1727928399716059
Params: {'C': 10.0, 'mode': 2, 'eps': 0.01, 'learn_intercept': True}, Score: 0.6858837614818077
Params: {'C': 10.0, 'mode': 2, 'eps': 0.1, 'learn_intercept': True}, Score: 0.7039278825004294
Params: {'C': 10.0, 'mode': 1, 'eps': 1.0, 'learn_intercept': True}, Score: 0.17279325182071262
Params: {'C': 1.0, 'mode': 1, 'eps': 1.0, 'learn_intercept': False}, Score: 0.1713450079426303
Params: {'C': 1.0, 'mode': 1, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6779404680104231
Params: {'C': 1.0, 'mode': 1, 'eps': 0.1, 'learn_intercept': False}, Score: 0.6966412676909842
Params: {'C': 10.0, 'mode': 1, 'eps': 0.1, 'learn_intercept': False}, Score: 0.6966412676909842
Params: {'C': 1.0, 'mode': 2, 'eps': 1.0, 'learn_intercept': False}, Score: 0.17121359692870142
Params: {'C': 1.0, 'mode': 2, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6765755009622118
Params: {'C': 1.0, 'mode': 2, 'eps': 0.1, 'learn_intercept': False}, Score: 0.6986274790436351
Params: {'C': 10.0, 'mode': 1, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6779404680104231
Params: {'C': 10.0, 'mode': 2, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6795114055853784
Params: {'C': 10.0, 'mode': 2, 'eps': 1.0, 'learn_intercept': False}, Score: 0.17133182117604426
Params: {'C': 10.0, 'mode': 2, 'eps': 0.1, 'learn_intercept': False}, Score: 0.7007071986394494
Params: {'C': 10.0, 'mode': 1, 'eps': 1.0, 'learn_intercept': False}, Score: 0.1713450079426303
Params: {'C': 100.0, 'mode': 1, 'eps': 0.01, 'learn_intercept': True}, Score: 0.684391282680418
Params: {'C': 100.0, 'mode': 1, 'eps': 0.1, 'learn_intercept': True}, Score: 0.7068684311059265
Params: {'C': 100.0, 'mode': 2, 'eps': 0.01, 'learn_intercept': True}, Score: 0.6843354497485816
Params: {'C': 100.0, 'mode': 1, 'eps': 1.0, 'learn_intercept': True}, Score: 0.17279325182071262
Params: {'C': 100.0, 'mode': 2, 'eps': 1.0, 'learn_intercept': True}, Score: 0.17279321665902972
Params: {'C': 100.0, 'mode': 2, 'eps': 0.1, 'learn_intercept': True}, Score: 0.7066350845401176
Params: {'C': 100.0, 'mode': 1, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6779404680104231
Params: {'C': 100.0, 'mode': 2, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6804258280267382
Params: {'C': 100.0, 'mode': 1, 'eps': 0.1, 'learn_intercept': False}, Score: 0.6966412676909842
Params: {'C': 100.0, 'mode': 1, 'eps': 1.0, 'learn_intercept': False}, Score: 0.1713450079426303
Params: {'C': 100.0, 'mode': 2, 'eps': 1.0, 'learn_intercept': False}, Score: 0.17134369032640287
Params: {'C': 100.0, 'mode': 2, 'eps': 0.1, 'learn_intercept': False}, Score: 0.69941903614763
Params: {'C': 0.01, 'mode': 1, 'eps': 0.01, 'learn_intercept': True}, Score: 0.6636779271473129
Params: {'C': 0.01, 'mode': 2, 'eps': 0.1, 'learn_intercept': True}, Score: 0.47003756974839833
Params: {'C': 0.01, 'mode': 1, 'eps': 0.1, 'learn_intercept': True}, Score: 0.6935595551335235
Params: {'C': 0.01, 'mode': 2, 'eps': 1.0, 'learn_intercept': True}, Score: 0.16380605376340862
Params: {'C': 0.01, 'mode': 1, 'eps': 1.0, 'learn_intercept': True}, Score: 0.17279325182071262
Params: {'C': 0.01, 'mode': 2, 'eps': 0.01, 'learn_intercept': True}, Score: 0.4915804966875419
Params: {'C': 0.01, 'mode': 0, 'eps': 1.0, 'learn_intercept': True}, Score: 0.17279325182071262
Params: {'C': 0.1, 'mode': 0, 'eps': 0.01, 'learn_intercept': True}, Score: 0.684391282680418
Params: {'C': 0.01, 'mode': 0, 'eps': 0.01, 'learn_intercept': True}, Score: 0.684391282680418
Params: {'C': 0.01, 'mode': 0, 'eps': 0.1, 'learn_intercept': True}, Score: 0.7068684311059265
Params: {'C': 0.1, 'mode': 0, 'eps': 1.0, 'learn_intercept': True}, Score: 0.17279325182071262
Params: {'C': 0.1, 'mode': 0, 'eps': 0.1, 'learn_intercept': True}, Score: 0.7068684311059265
Params: {'C': 0.01, 'mode': 1, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6618021064149655
Params: {'C': 0.01, 'mode': 2, 'eps': 0.1, 'learn_intercept': False}, Score: 0.46412127853782686
Params: {'C': 0.01, 'mode': 1, 'eps': 0.1, 'learn_intercept': False}, Score: 0.6845937790033411
Params: {'C': 0.01, 'mode': 1, 'eps': 1.0, 'learn_intercept': False}, Score: 0.1713450079426303
Params: {'C': 0.01, 'mode': 2, 'eps': 1.0, 'learn_intercept': False}, Score: 0.16273431904475089
Params: {'C': 0.01, 'mode': 2, 'eps': 0.01, 'learn_intercept': False}, Score: 0.4894038680719458
Params: {'C': 0.1, 'mode': 0, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6779404680104231
Params: {'C': 0.01, 'mode': 0, 'eps': 1.0, 'learn_intercept': False}, Score: 0.1713450079426303
Params: {'C': 0.1, 'mode': 0, 'eps': 1.0, 'learn_intercept': False}, Score: 0.1713450079426303
Params: {'C': 0.01, 'mode': 0, 'eps': 0.1, 'learn_intercept': False}, Score: 0.6966412676909842
Params: {'C': 0.01, 'mode': 0, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6779404680104231
Params: {'C': 0.1, 'mode': 0, 'eps': 0.1, 'learn_intercept': False}, Score: 0.6966412676909842
Params: {'C': 0.1, 'mode': 1, 'eps': 0.01, 'learn_intercept': True}, Score: 0.6845491332377999
Params: {'C': 0.1, 'mode': 1, 'eps': 0.1, 'learn_intercept': True}, Score: 0.705921906656621
Params: {'C': 0.1, 'mode': 2, 'eps': 0.01, 'learn_intercept': True}, Score: 0.6494978643511277
Params: {'C': 0.1, 'mode': 1, 'eps': 1.0, 'learn_intercept': True}, Score: 0.17279325182071262
Params: {'C': 0.1, 'mode': 2, 'eps': 1.0, 'learn_intercept': True}, Score: 0.17138534911057304
Params: {'C': 0.1, 'mode': 2, 'eps': 0.1, 'learn_intercept': True}, Score: 0.6657390760944824
Params: {'C': 1.0, 'mode': 0, 'eps': 0.01, 'learn_intercept': True}, Score: 0.684391282680418
Params: {'C': 1.0, 'mode': 0, 'eps': 0.1, 'learn_intercept': True}, Score: 0.7068684311059265
Params: {'C': 1.0, 'mode': 1, 'eps': 0.1, 'learn_intercept': True}, Score: 0.7068684311059265
Params: {'C': 1.0, 'mode': 1, 'eps': 0.01, 'learn_intercept': True}, Score: 0.684391282680418
Params: {'C': 0.1, 'mode': 1, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6796473028141384
Params: {'C': 1.0, 'mode': 1, 'eps': 1.0, 'learn_intercept': True}, Score: 0.17279325182071262
Params: {'C': 1.0, 'mode': 0, 'eps': 1.0, 'learn_intercept': True}, Score: 0.17279325182071262
Params: {'C': 0.1, 'mode': 2, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6447744564103466
Params: {'C': 0.1, 'mode': 1, 'eps': 0.1, 'learn_intercept': False}, Score: 0.7012988617824942
Params: {'C': 0.1, 'mode': 1, 'eps': 1.0, 'learn_intercept': False}, Score: 0.1713450079426303
Params: {'C': 0.1, 'mode': 2, 'eps': 1.0, 'learn_intercept': False}, Score: 0.16974314336099292
Params: {'C': 0.1, 'mode': 2, 'eps': 0.1, 'learn_intercept': False}, Score: 0.6559586114469841
Params: {'C': 1.0, 'mode': 0, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6779404680104231
Params: {'C': 1.0, 'mode': 0, 'eps': 0.1, 'learn_intercept': False}, Score: 0.6966412676909842
Params: {'C': 1.0, 'mode': 1, 'eps': 0.1, 'learn_intercept': False}, Score: 0.6966412676909842
Params: {'C': 1.0, 'mode': 1, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6779404680104231
Params: {'C': 1.0, 'mode': 2, 'eps': 0.01, 'learn_intercept': True}, Score: 0.6832508309533396
Params: {'C': 1.0, 'mode': 1, 'eps': 1.0, 'learn_intercept': False}, Score: 0.1713450079426303
Params: {'C': 1.0, 'mode': 2, 'eps': 0.1, 'learn_intercept': True}, Score: 0.7069528019147454
Params: {'C': 1.0, 'mode': 0, 'eps': 1.0, 'learn_intercept': False}, Score: 0.1713450079426303
Params: {'C': 1.0, 'mode': 2, 'eps': 1.0, 'learn_intercept': True}, Score: 0.17277219950411474
Params: {'C': 10.0, 'mode': 0, 'eps': 0.01, 'learn_intercept': True}, Score: 0.684391282680418
Params: {'C': 10.0, 'mode': 0, 'eps': 0.1, 'learn_intercept': True}, Score: 0.7068684311059265
Params: {'C': 10.0, 'mode': 0, 'eps': 1.0, 'learn_intercept': True}, Score: 0.17279325182071262
Params: {'C': 10.0, 'mode': 1, 'eps': 0.1, 'learn_intercept': True}, Score: 0.7068684311059265
Params: {'C': 10.0, 'mode': 1, 'eps': 0.01, 'learn_intercept': True}, Score: 0.684391282680418
Params: {'C': 10.0, 'mode': 2, 'eps': 0.01, 'learn_intercept': True}, Score: 0.6858837614818077
Params: {'C': 10.0, 'mode': 1, 'eps': 1.0, 'learn_intercept': True}, Score: 0.17279325182071262
Params: {'C': 1.0, 'mode': 2, 'eps': 0.1, 'learn_intercept': False}, Score: 0.6986274790436351
Params: {'C': 10.0, 'mode': 2, 'eps': 0.1, 'learn_intercept': True}, Score: 0.7039278825004294
Params: {'C': 1.0, 'mode': 2, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6765755009622118
Params: {'C': 10.0, 'mode': 2, 'eps': 1.0, 'learn_intercept': True}, Score: 0.1727928399716059
Params: {'C': 1.0, 'mode': 2, 'eps': 1.0, 'learn_intercept': False}, Score: 0.17121359692870142
Params: {'C': 10.0, 'mode': 1, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6779404680104231
Params: {'C': 10.0, 'mode': 1, 'eps': 0.1, 'learn_intercept': False}, Score: 0.6966412676909842
Params: {'C': 10.0, 'mode': 0, 'eps': 1.0, 'learn_intercept': False}, Score: 0.1713450079426303
Params: {'C': 10.0, 'mode': 2, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6795114055853784
Params: {'C': 10.0, 'mode': 0, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6779404680104231
Params: {'C': 10.0, 'mode': 2, 'eps': 0.1, 'learn_intercept': False}, Score: 0.7007071986394494
Params: {'C': 10.0, 'mode': 0, 'eps': 0.1, 'learn_intercept': False}, Score: 0.6966412676909842
Params: {'C': 10.0, 'mode': 1, 'eps': 1.0, 'learn_intercept': False}, Score: 0.1713450079426303
Params: {'C': 10.0, 'mode': 2, 'eps': 1.0, 'learn_intercept': False}, Score: 0.17133182117604426
Params: {'C': 100.0, 'mode': 0, 'eps': 0.01, 'learn_intercept': True}, Score: 0.684391282680418
Params: {'C': 100.0, 'mode': 0, 'eps': 0.1, 'learn_intercept': True}, Score: 0.7068684311059265
Params: {'C': 100.0, 'mode': 0, 'eps': 1.0, 'learn_intercept': True}, Score: 0.17279325182071262
Params: {'C': 100.0, 'mode': 1, 'eps': 0.1, 'learn_intercept': True}, Score: 0.7068684311059265
Params: {'C': 100.0, 'mode': 1, 'eps': 0.01, 'learn_intercept': True}, Score: 0.684391282680418
Params: {'C': 100.0, 'mode': 1, 'eps': 1.0, 'learn_intercept': True}, Score: 0.17279325182071262
Params: {'C': 100.0, 'mode': 2, 'eps': 0.01, 'learn_intercept': True}, Score: 0.6843354497485816
Params: {'C': 100.0, 'mode': 2, 'eps': 0.1, 'learn_intercept': True}, Score: 0.7066350845401176
Params: {'C': 100.0, 'mode': 2, 'eps': 1.0, 'learn_intercept': True}, Score: 0.17279321665902972
Params: {'C': 100.0, 'mode': 0, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6779404680104231
Params: {'C': 100.0, 'mode': 0, 'eps': 0.1, 'learn_intercept': False}, Score: 0.6966412676909842
Params: {'C': 100.0, 'mode': 0, 'eps': 1.0, 'learn_intercept': False}, Score: 0.1713450079426303
Params: {'C': 100.0, 'mode': 1, 'eps': 0.1, 'learn_intercept': False}, Score: 0.6966412676909842
Params: {'C': 100.0, 'mode': 1, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6779404680104231
Params: {'C': 100.0, 'mode': 1, 'eps': 1.0, 'learn_intercept': False}, Score: 0.1713450079426303
Params: {'C': 100.0, 'mode': 2, 'eps': 0.1, 'learn_intercept': False}, Score: 0.69941903614763
Params: {'C': 100.0, 'mode': 2, 'eps': 1.0, 'learn_intercept': False}, Score: 0.17134369032640287
Params: {'C': 100.0, 'mode': 2, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6804258280267382
Params: {'C': 0.01, 'mode': 1, 'eps': 1.0, 'learn_intercept': True}, Score: 0.17279325182071262
Params: {'C': 0.01, 'mode': 2, 'eps': 0.01, 'learn_intercept': True}, Score: 0.4915804966875419
Params: {'C': 0.01, 'mode': 2, 'eps': 1.0, 'learn_intercept': True}, Score: 0.16380605376340862
Params: {'C': 0.01, 'mode': 1, 'eps': 0.01, 'learn_intercept': True}, Score: 0.6636779271473129
Params: {'C': 0.01, 'mode': 2, 'eps': 0.1, 'learn_intercept': True}, Score: 0.47003756974839833
Params: {'C': 0.01, 'mode': 1, 'eps': 0.1, 'learn_intercept': True}, Score: 0.6935595551335235
Params: {'C': 0.1, 'mode': 0, 'eps': 1.0, 'learn_intercept': True}, Score: 0.17279325182071262
Params: {'C': 0.1, 'mode': 0, 'eps': 0.1, 'learn_intercept': True}, Score: 0.7068684311059265
Params: {'C': 0.01, 'mode': 0, 'eps': 0.01, 'learn_intercept': True}, Score: 0.684391282680418
Params: {'C': 0.1, 'mode': 0, 'eps': 0.01, 'learn_intercept': True}, Score: 0.684391282680418
Params: {'C': 0.01, 'mode': 0, 'eps': 0.1, 'learn_intercept': True}, Score: 0.7068684311059265
Params: {'C': 0.01, 'mode': 0, 'eps': 1.0, 'learn_intercept': True}, Score: 0.17279325182071262
Params: {'C': 0.01, 'mode': 2, 'eps': 0.01, 'learn_intercept': False}, Score: 0.4894038680719458
Params: {'C': 0.01, 'mode': 1, 'eps': 1.0, 'learn_intercept': False}, Score: 0.1713450079426303
Params: {'C': 0.01, 'mode': 1, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6618021064149655
Params: {'C': 0.01, 'mode': 2, 'eps': 1.0, 'learn_intercept': False}, Score: 0.16273431904475089
Params: {'C': 0.01, 'mode': 1, 'eps': 0.1, 'learn_intercept': False}, Score: 0.6845937790033411
Params: {'C': 0.01, 'mode': 2, 'eps': 0.1, 'learn_intercept': False}, Score: 0.46412127853782686
Params: {'C': 0.01, 'mode': 0, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6779404680104231
Params: {'C': 0.01, 'mode': 0, 'eps': 1.0, 'learn_intercept': False}, Score: 0.1713450079426303
Params: {'C': 0.1, 'mode': 0, 'eps': 1.0, 'learn_intercept': False}, Score: 0.1713450079426303
Params: {'C': 0.1, 'mode': 0, 'eps': 0.1, 'learn_intercept': False}, Score: 0.6966412676909842
Params: {'C': 0.1, 'mode': 0, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6779404680104231
Params: {'C': 0.01, 'mode': 0, 'eps': 0.1, 'learn_intercept': False}, Score: 0.6966412676909842
Params: {'C': 0.1, 'mode': 1, 'eps': 0.01, 'learn_intercept': True}, Score: 0.6845491332377999
Params: {'C': 0.1, 'mode': 1, 'eps': 1.0, 'learn_intercept': True}, Score: 0.17279325182071262
Params: {'C': 0.1, 'mode': 2, 'eps': 0.01, 'learn_intercept': True}, Score: 0.6494978643511277
Params: {'C': 0.1, 'mode': 1, 'eps': 0.1, 'learn_intercept': True}, Score: 0.705921906656621
Params: {'C': 0.1, 'mode': 2, 'eps': 0.1, 'learn_intercept': True}, Score: 0.6657390760944824
Params: {'C': 0.1, 'mode': 2, 'eps': 1.0, 'learn_intercept': True}, Score: 0.17138534911057304
Params: {'C': 1.0, 'mode': 0, 'eps': 0.01, 'learn_intercept': True}, Score: 0.684391282680418
Params: {'C': 1.0, 'mode': 0, 'eps': 1.0, 'learn_intercept': True}, Score: 0.17279325182071262
Params: {'C': 1.0, 'mode': 1, 'eps': 0.01, 'learn_intercept': True}, Score: 0.684391282680418
Params: {'C': 1.0, 'mode': 1, 'eps': 0.1, 'learn_intercept': True}, Score: 0.7068684311059265
Params: {'C': 1.0, 'mode': 1, 'eps': 1.0, 'learn_intercept': True}, Score: 0.17279325182071262
Params: {'C': 0.1, 'mode': 1, 'eps': 1.0, 'learn_intercept': False}, Score: 0.1713450079426303
Params: {'C': 0.1, 'mode': 1, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6796473028141384
Params: {'C': 1.0, 'mode': 0, 'eps': 0.1, 'learn_intercept': True}, Score: 0.7068684311059265
Params: {'C': 0.1, 'mode': 1, 'eps': 0.1, 'learn_intercept': False}, Score: 0.7012988617824942
Params: {'C': 0.1, 'mode': 2, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6447744564103466
Params: {'C': 0.1, 'mode': 2, 'eps': 1.0, 'learn_intercept': False}, Score: 0.16974314336099292
Params: {'C': 0.1, 'mode': 2, 'eps': 0.1, 'learn_intercept': False}, Score: 0.6559586114469841
Params: {'C': 1.0, 'mode': 1, 'eps': 0.1, 'learn_intercept': False}, Score: 0.6966412676909842
Params: {'C': 1.0, 'mode': 1, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6779404680104231
Params: {'C': 1.0, 'mode': 2, 'eps': 0.1, 'learn_intercept': True}, Score: 0.7069528019147454
Params: {'C': 1.0, 'mode': 1, 'eps': 1.0, 'learn_intercept': False}, Score: 0.1713450079426303
Params: {'C': 1.0, 'mode': 2, 'eps': 1.0, 'learn_intercept': True}, Score: 0.17277219950411474
Params: {'C': 1.0, 'mode': 2, 'eps': 0.01, 'learn_intercept': True}, Score: 0.6832508309533396
Params: {'C': 1.0, 'mode': 0, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6779404680104231
Params: {'C': 1.0, 'mode': 0, 'eps': 1.0, 'learn_intercept': False}, Score: 0.1713450079426303
Params: {'C': 1.0, 'mode': 0, 'eps': 0.1, 'learn_intercept': False}, Score: 0.6966412676909842
Params: {'C': 10.0, 'mode': 0, 'eps': 0.1, 'learn_intercept': True}, Score: 0.7068684311059265
Params: {'C': 10.0, 'mode': 0, 'eps': 0.01, 'learn_intercept': True}, Score: 0.684391282680418
Params: {'C': 10.0, 'mode': 0, 'eps': 1.0, 'learn_intercept': True}, Score: 0.17279325182071262
Params: {'C': 10.0, 'mode': 1, 'eps': 0.1, 'learn_intercept': True}, Score: 0.7068684311059265
Params: {'C': 10.0, 'mode': 1, 'eps': 0.01, 'learn_intercept': True}, Score: 0.684391282680418
Params: {'C': 1.0, 'mode': 2, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6765755009622118
Params: {'C': 1.0, 'mode': 2, 'eps': 0.1, 'learn_intercept': False}, Score: 0.6986274790436351
Params: {'C': 10.0, 'mode': 1, 'eps': 1.0, 'learn_intercept': True}, Score: 0.17279325182071262
Params: {'C': 1.0, 'mode': 2, 'eps': 1.0, 'learn_intercept': False}, Score: 0.17121359692870142
Params: {'C': 10.0, 'mode': 2, 'eps': 0.01, 'learn_intercept': True}, Score: 0.6858837614818077
Params: {'C': 10.0, 'mode': 2, 'eps': 0.1, 'learn_intercept': True}, Score: 0.7039278825004294
Params: {'C': 10.0, 'mode': 2, 'eps': 1.0, 'learn_intercept': True}, Score: 0.1727928399716059
Params: {'C': 10.0, 'mode': 0, 'eps': 0.1, 'learn_intercept': False}, Score: 0.6966412676909842
Params: {'C': 10.0, 'mode': 0, 'eps': 1.0, 'learn_intercept': False}, Score: 0.1713450079426303
Params: {'C': 10.0, 'mode': 0, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6779404680104231
Params: {'C': 10.0, 'mode': 1, 'eps': 0.1, 'learn_intercept': False}, Score: 0.6966412676909842
Params: {'C': 10.0, 'mode': 2, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6795114055853784
Params: {'C': 10.0, 'mode': 2, 'eps': 0.1, 'learn_intercept': False}, Score: 0.7007071986394494
Params: {'C': 10.0, 'mode': 1, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6779404680104231
Params: {'C': 10.0, 'mode': 1, 'eps': 1.0, 'learn_intercept': False}, Score: 0.1713450079426303
Params: {'C': 100.0, 'mode': 0, 'eps': 0.01, 'learn_intercept': True}, Score: 0.684391282680418
Params: {'C': 100.0, 'mode': 0, 'eps': 1.0, 'learn_intercept': True}, Score: 0.17279325182071262
Params: {'C': 100.0, 'mode': 0, 'eps': 0.1, 'learn_intercept': True}, Score: 0.7068684311059265
Params: {'C': 10.0, 'mode': 2, 'eps': 1.0, 'learn_intercept': False}, Score: 0.17133182117604426
Params: {'C': 100.0, 'mode': 1, 'eps': 0.01, 'learn_intercept': True}, Score: 0.684391282680418
Params: {'C': 100.0, 'mode': 1, 'eps': 0.1, 'learn_intercept': True}, Score: 0.7068684311059265
Params: {'C': 100.0, 'mode': 1, 'eps': 1.0, 'learn_intercept': True}, Score: 0.17279325182071262
Params: {'C': 100.0, 'mode': 2, 'eps': 0.01, 'learn_intercept': True}, Score: 0.6843354497485816
Params: {'C': 100.0, 'mode': 2, 'eps': 0.1, 'learn_intercept': True}, Score: 0.7066350845401176
Params: {'C': 100.0, 'mode': 2, 'eps': 1.0, 'learn_intercept': True}, Score: 0.17279321665902972
Params: {'C': 100.0, 'mode': 0, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6779404680104231
Params: {'C': 100.0, 'mode': 0, 'eps': 1.0, 'learn_intercept': False}, Score: 0.1713450079426303
Params: {'C': 100.0, 'mode': 0, 'eps': 0.1, 'learn_intercept': False}, Score: 0.6966412676909842
Params: {'C': 100.0, 'mode': 1, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6779404680104231
Params: {'C': 100.0, 'mode': 1, 'eps': 0.1, 'learn_intercept': False}, Score: 0.6966412676909842
Params: {'C': 100.0, 'mode': 1, 'eps': 1.0, 'learn_intercept': False}, Score: 0.1713450079426303
Params: {'C': 100.0, 'mode': 2, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6804258280267382
Params: {'C': 100.0, 'mode': 2, 'eps': 0.1, 'learn_intercept': False}, Score: 0.69941903614763
Params: {'C': 100.0, 'mode': 2, 'eps': 1.0, 'learn_intercept': False}, Score: 0.17134369032640287
Params: {'C': 0.001, 'mode': 2, 'eps': 0.1, 'learn_intercept': False}, Score: 0.21673910545449526
Params: {'C': 0.01, 'mode': 2, 'eps': 0.01, 'learn_intercept': True}, Score: 0.4915804966875419
Params: {'C': 0.001, 'mode': 1, 'eps': 0.01, 'learn_intercept': True}, Score: 0.23608394780989983
Params: {'C': 0.001, 'mode': 2, 'eps': 0.01, 'learn_intercept': True}, Score: 0.23189717240987223
Params: {'C': 0.01, 'mode': 2, 'eps': 0.1, 'learn_intercept': False}, Score: 0.46412127853782686
Params: {'C': 0.01, 'mode': 1, 'eps': 0.1, 'learn_intercept': False}, Score: 0.6845937790033411
Params: {'C': 0.01, 'mode': 1, 'eps': 0.01, 'learn_intercept': True}, Score: 0.6636779271473129
Params: {'C': 0.001, 'mode': 1, 'eps': 0.1, 'learn_intercept': False}, Score: 0.23965176972328228
Params: {'C': 0.001, 'mode': 0, 'eps': 0.01, 'learn_intercept': True}, Score: 0.684391282680418
Params: {'C': 0.01, 'mode': 0, 'eps': 0.1, 'learn_intercept': False}, Score: 0.6966412676909842
Params: {'C': 0.01, 'mode': 0, 'eps': 0.01, 'learn_intercept': True}, Score: 0.684391282680418
Params: {'C': 0.001, 'mode': 0, 'eps': 0.1, 'learn_intercept': False}, Score: 0.6966412676909842
Params: {'C': 0.001, 'mode': 2, 'eps': 1.0, 'learn_intercept': True}, Score: 0.1524637939223917
Params: {'C': 0.001, 'mode': 2, 'eps': 0.01, 'learn_intercept': False}, Score: 0.23154851501889362
